time,up_preprocessed,octez_validator_block_worker_error_count_preprocessed,ocaml_gc_allocated_bytes_preprocessed,octez_p2p_connections_active_preprocessed,process_cpu_seconds_total_preprocessed,octez_store_last_merge_time_preprocessed,octez_validator_chain_synchronisation_status_preprocessed,octez_validator_chain_is_bootstrapped_preprocessed,octez_validator_peer_system_error_preprocessed,octez_validator_peer_unavailable_protocol_preprocessed,octez_validator_peer_unknown_error_preprocessed,octez_p2p_swap_fail_preprocessed,octez_store_invalid_blocks_preprocessed,process_start_time_seconds_preprocessed
8749.713825,0.0,,,,,,,,,,,,,
8749.749161,,0.0,,,,,,,,,,,,
8809.92207,,,,,,,,,,,,,,0.0
8809.948899,,,,,,,,,,,,,0.0,
8809.967708,,,,,,,,,,,,0.027027027027026973,,
8809.994311,,,,,,,,,,,0.0,,,
8810.014756,,,,,,,,,,0.0,,,,
8810.04312,,,,,,,,,0.0,,,,,
8810.070095,,,,,,,,0.0,,,,,,
8810.100975,,,,,,,0.0,,,,,,,
8810.121898,,,,,,1.0,,,,,,,,
8810.150328,,,,,0.062050475320006626,,,,,,,,,
8810.174498,,,,0.7727272727272729,,,,,,,,,,
8810.197246,,,0.05651906214954805,,,,,,,,,,,
8810.225035,0.0,,,,,,,,,,,,,
8810.256347,,0.0,,,,,,,,,,,,
8870.348058,,,,,,,,,,,,,,0.0
8870.374885,,,,,,,,,,,,,0.0,
8870.393121,,,,,,,,,,,,0.027027027027026973,,
8870.420069,,,,,,,,,,,0.0,,,
8870.443167,,,,,,,,,,0.0,,,,
8870.472158,,,,,,,,,0.0,,,,,
8870.500051,,,,,,,,0.0,,,,,,
8870.53177,,,,,,,0.0,,,,,,,
8870.555098,,,,,,1.0,,,,,,,,
8870.584662,,,,,0.06253060441156677,,,,,,,,,
8870.610952,,,,0.7727272727272729,,,,,,,,,,
8870.636142,,,0.05696452922078532,,,,,,,,,,,
8870.663477,0.0,,,,,,,,,,,,,
8870.701642,,0.0,,,,,,,,,,,,
8930.782047,,,,,,,,,,,,,,0.0
8930.809956,,,,,,,,,,,,,0.0,
8930.828528,,,,,,,,,,,,0.027027027027026973,,
8930.85575,,,,,,,,,,,0.0,,,
8930.869261,,,,,,,,,,0.0,,,,
8930.89817,,,,,,,,,0.0,,,,,
8930.925257,,,,,,,,0.0,,,,,,
8930.956821,,,,,,,0.0,,,,,,,
8930.979393,,,,,,1.0,,,,,,,,
8931.008893,,,,,0.0630529484191682,,,,,,,,,
8931.035182,,,,0.8181818181818183,,,,,,,,,,
8931.05972,,,0.05744869038227296,,,,,,,,,,,
8931.090091,0.0,,,,,,,,,,,,,
8931.125473,,0.0,,,,,,,,,,,,
8991.203306,,,,,,,,,,,,,,0.0
8991.230239,,,,,,,,,,,,,0.0,
8991.249223,,,,,,,,,,,,0.027027027027026973,,
8991.277105,,,,,,,,,,,0.0,,,
8991.299003,,,,,,,,,,0.0,,,,
8991.328528,,,,,,,,,0.0,,,,,
8991.356284,,,,,,,,0.0,,,,,,
8991.38808,,,,,,,0.0,,,,,,,
8991.410944,,,,,,1.0,,,,,,,,
8991.440679,,,,,0.06350222970672581,,,,,,,,,
8991.467462,,,,0.09090909090909083,,,,,,,,,,
8991.493038,,,0.05787639018448454,,,,,,,,,,,
8991.522972,0.0,,,,,,,,,,,,,
8991.561722,,0.0,,,,,,,,,,,,
9051.626773,,,,,,,,,,,,,,0.0
9051.654779,,,,,,,,,,,,,0.0,
9051.674935,,,,,,,,,,,,0.027027027027026973,,
9051.704973,,,,,,,,,,,0.0,,,
9051.728386,,,,,,,,,,0.0,,,,
9051.757981,,,,,,,,,0.0,,,,,
9051.786916,,,,,,,,0.0,,,,,,
9051.817379,,,,,,,0.0,,,,,,,
9051.833248,,,,,,1.0,,,,,,,,
9051.861981,,,,,0.06387574910503402,,,,,,,,,
9051.888509,,,,0.09090909090909083,,,,,,,,,,
9051.912456,,,0.05820195219437352,,,,,,,,,,,
9051.942456,0.0,,,,,,,,,,,,,
9051.980818,,0.0,,,,,,,,,,,,
9112.045473,,,,,,,,,,,,,,0.0
9112.073304,,,,,,,,,,,,,0.0,
9112.092963,,,,,,,,,,,,0.03153153153153149,,
9112.120941,,,,,,,,,,,0.0,,,
9112.144429,,,,,,,,,,0.0,,,,
9112.17375,,,,,,,,,0.0,,,,,
9112.202387,,,,,,,,0.0,,,,,,
